category,task,model,fold,held_out_rule,n_train_rows,n_test_rows,n_train_rules,r2,mae,rmse,y_test_mean,y_test_std,y_test_min,y_test_max,y_train_mean,y_train_std,pred_mean,pred_std,mean_signed_error,duration_sec
soft,general_shelf_life,random_forest,0,V7|PH_CHEESE,3146,5654,6,0.9384709684398207,3.7958444048999693,6.299868354985581,24.41795719844358,25.397527225981847,1.5,156.51,24.76129688493325,27.307367434120113,27.241480552932167,27.39879277296966,2.823523354488585,3.5858311653137207
soft,general_shelf_life,lightgbm,0,V7|PH_CHEESE,3146,5654,6,0.9431635133210435,3.617087439997591,6.054873117491513,24.41795719844358,25.397527225981847,1.5,156.51,24.76129688493325,27.307367434120113,27.42080468326599,28.009912001084857,3.002847484822415,6.803279161453247
soft,general_shelf_life,xgboost,0,V7|PH_CHEESE,3146,5654,6,0.9391739216786152,3.8001352975045495,6.263777795957532,24.41795719844358,25.397527225981847,1.5,156.51,24.76129688493325,27.307367434120113,27.576759338378906,28.08445167541504,3.1588038961323153,1.782092571258545
soft,general_shelf_life,random_forest,1,V7|PLANT_REVIEW,6259,2541,6,0.976167600527582,2.443800329276412,4.380017228534508,27.57720188902007,28.37212952820327,1.82,145.7,23.307956542578687,25.00941472818191,25.71127660142795,26.09566764360584,-1.8659252875921237,7.017651081085205
soft,general_shelf_life,lightgbm,1,V7|PLANT_REVIEW,6259,2541,6,0.9853970842061949,1.9368983206580732,3.4285597654089446,27.57720188902007,28.37212952820327,1.82,145.7,23.307956542578687,25.00941472818191,26.442782985395834,26.903487829460353,-1.134418903624235,7.9025468826293945
soft,general_shelf_life,xgboost,1,V7|PLANT_REVIEW,6259,2541,6,0.9824120586121504,2.2566779683678697,3.762698659672729,27.57720188902007,28.37212952820327,1.82,145.7,23.307956542578687,25.00941472818191,26.174156188964844,26.72226905822754,-1.4030435576658462,1.12337327003479
soft,general_shelf_life,random_forest,2,V7|RICOTTA_MAP,8517,283,6,0.7239497185028405,0.859209930708524,1.0384297346450304,6.3459363957597175,1.976437193998389,3.06,11.97,25.14527063520019,26.30933223008521,6.978197238089502,1.9798585544448015,0.6322608423297842,9.201909065246582
soft,general_shelf_life,lightgbm,2,V7|RICOTTA_MAP,8517,283,6,0.8924707239768022,0.5016164788282013,0.6481065028925909,6.3459363957597175,1.976437193998389,3.06,11.97,25.14527063520019,26.30933223008521,6.387390467311799,2.0624221348411567,0.04145407155208132,8.108288288116455
soft,general_shelf_life,xgboost,2,V7|RICOTTA_MAP,8517,283,6,0.8057165711802217,0.6840490054073266,0.8711659609973215,6.3459363957597175,1.976437193998389,3.06,11.97,25.14527063520019,26.30933223008521,6.559779167175293,1.9325443506240845,0.21384262482606056,1.2126824855804443
soft,general_shelf_life,random_forest,3,V7|NATAMYCIN_REVIEW,8648,152,6,0.9772743333566575,2.7542920822844876,4.31565626323131,31.38934210526316,28.627836648027074,2.76,137.0,24.420327243293247,26.034080656706614,28.811023427845,25.882158318300675,-2.5783186774181557,9.574062585830688
soft,general_shelf_life,lightgbm,3,V7|NATAMYCIN_REVIEW,8648,152,6,0.9885476619580678,1.9423277771097816,3.063625035146375,31.38934210526316,28.627836648027074,2.76,137.0,24.420327243293247,26.034080656706614,30.64674577089265,26.453555029354856,-0.7425963343705136,5.348530054092407
soft,general_shelf_life,xgboost,3,V7|NATAMYCIN_REVIEW,8648,152,6,0.9826302759207183,2.4321557129056828,3.7729842325866034,31.38934210526316,28.627836648027074,2.76,137.0,24.420327243293247,26.034080656706614,29.595125198364258,26.47800064086914,-1.7942166967140998,1.2812042236328125
soft,general_shelf_life,random_forest,4,V7|RICOTTA_MAP|PLANT_REVIEW,8655,145,6,0.8749542884722619,0.5651214824289693,0.7680061072787122,7.207379310344827,2.1718522273633103,3.52,13.69,24.831091854419412,26.215638118977918,6.7196394517029905,1.9155859916016293,-0.4877398586418369,11.075839519500732
soft,general_shelf_life,lightgbm,4,V7|RICOTTA_MAP|PLANT_REVIEW,8655,145,6,0.8770413450917389,0.5430576968439266,0.761569993887047,7.207379310344827,2.1718522273633103,3.52,13.69,24.831091854419412,26.215638118977918,7.34093696760338,2.0602651223234294,0.13355765725855231,8.396045446395874
soft,general_shelf_life,xgboost,4,V7|RICOTTA_MAP|PLANT_REVIEW,8655,145,6,0.7486762116195875,0.7944928957182785,1.088797390479742,7.207379310344827,2.1718522273633103,3.52,13.69,24.831091854419412,26.215638118977918,7.15874719619751,1.972969889640808,-0.04863259756154028,1.1830871105194092
soft,general_shelf_life,random_forest,5,V7|HMMC_NAT|NATAMYCIN_REVIEW,8783,17,6,-0.3348773867987247,1.9959463639016193,2.0508606954463793,8.091764705882353,1.7750699581710532,5.17,11.41,24.572538995787315,26.11195259825902,6.095818341980735,1.4365673443000362,-1.9959463639016193,10.102524757385254
soft,general_shelf_life,lightgbm,5,V7|HMMC_NAT|NATAMYCIN_REVIEW,8783,17,6,0.4719701409807956,1.1788160061368271,1.28986635515777,8.091764705882353,1.7750699581710532,5.17,11.41,24.572538995787315,26.11195259825902,6.912948699745526,1.705390648060552,-1.1788160061368271,8.361584186553955
soft,general_shelf_life,xgboost,5,V7|HMMC_NAT|NATAMYCIN_REVIEW,8783,17,6,0.3780590403885905,1.2315505285824049,1.3998775656800488,8.091764705882353,1.7750699581710532,5.17,11.41,24.572538995787315,26.11195259825902,6.8602142333984375,1.3418868780136108,-1.2315505285824049,1.2857475280761719
soft,general_shelf_life,random_forest,6,V7|RICOTTA_MAP|NATAMYCIN_REVIEW,8792,8,6,0.07171539093504486,0.9394608382936506,0.9818676993188047,9.4575,1.0190896673011653,7.33,10.93,24.554425614194724,26.104754915037518,8.51803916170635,0.9999378197565003,-0.9394608382936506,14.777820825576782
soft,general_shelf_life,lightgbm,6,V7|RICOTTA_MAP|NATAMYCIN_REVIEW,8792,8,6,0.7901313320078622,0.4296164549394219,0.46685950077519006,9.4575,1.0190896673011653,7.33,10.93,24.554425614194724,26.104754915037518,9.492658335909042,0.9561539260079425,0.03515833590904194,9.239454984664917
soft,general_shelf_life,xgboost,6,V7|RICOTTA_MAP|NATAMYCIN_REVIEW,8792,8,6,-0.27863181590142316,1.0484146595001222,1.1523519778937223,9.4575,1.0190896673011653,7.33,10.93,24.554425614194724,26.104754915037518,9.382574081420898,1.2135237455368042,-0.07492568016052248,1.4119017124176025
soft,safety_endpoint,random_forest,0,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,3221,1579,10,0.8201372338317888,4.996077048858186,7.234229522839882,27.24291323622546,17.05774624706336,2.52,60.0,33.933821794473765,15.457551963832916,27.290533838945514,14.295316782003784,0.04762060272005467,5.759491443634033
soft,safety_endpoint,lightgbm,0,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,3221,1579,10,0.831198807977418,4.4173867606787045,7.008247069375839,27.24291323622546,17.05774624706336,2.52,60.0,33.933821794473765,15.457551963832916,27.52697880725897,14.98710213279407,0.28406557103350816,7.376718759536743
soft,safety_endpoint,xgboost,0,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,3221,1579,10,0.8019424661049768,5.348432597932822,7.59132059919484,27.24291323622546,17.05774624706336,2.52,60.0,33.933821794473765,15.457551963832916,27.528291702270508,14.056117057800293,0.28537988538301184,1.063300371170044
soft,safety_endpoint,random_forest,1,V7|RISK_REVIEW|PH_CHEESE,3680,1120,10,0.7487554835069192,5.3752179978322765,7.055582538624167,36.4306875,14.07617251430032,3.37,59.9,30.302997282608697,16.66752352793721,37.11963244478909,10.55195070715211,0.6889449447890862,4.581433534622192
soft,safety_endpoint,lightgbm,1,V7|RISK_REVIEW|PH_CHEESE,3680,1120,10,0.7998485675774449,4.206068134569568,6.29743845889843,36.4306875,14.07617251430032,3.37,59.9,30.302997282608697,16.66752352793721,37.12355202696627,11.75884819885816,0.692864526966275,6.308916091918945
soft,safety_endpoint,xgboost,1,V7|RISK_REVIEW|PH_CHEESE,3680,1120,10,0.671176151415912,6.328418031147549,8.071722724544776,36.4306875,14.07617251430032,3.37,59.9,30.302997282608697,16.66752352793721,37.097511291503906,10.057167053222656,0.6668205132484437,0.7738213539123535
soft,safety_endpoint,random_forest,2,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,4261,539,10,0.8121044701615736,4.607430234071484,5.98535646676243,36.45679035250463,13.808032371512803,5.56,59.93,31.135224125792067,16.500785292137074,36.43907677125287,10.06899652604105,-0.017713581251769923,4.9054741859436035
soft,safety_endpoint,lightgbm,2,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,4261,539,10,0.9027541568893304,3.037917917772988,4.3059335112170585,36.45679035250463,13.808032371512803,5.56,59.93,31.135224125792067,16.500785292137074,36.268595588603254,11.560104667256311,-0.18819476390137854,3.8555586338043213
soft,safety_endpoint,xgboost,2,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,4261,539,10,0.6455921722480467,6.57390894314796,8.220220159976824,36.45679035250463,13.808032371512803,5.56,59.93,31.135224125792067,16.500785292137074,36.43072509765625,9.05053424835205,-0.02606370313711627,0.8361291885375977
soft,safety_endpoint,random_forest,3,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,4316,484,10,0.9569265434014127,2.1449929002092922,2.9037024544018357,37.440847107438024,13.990951440709575,4.12,59.9,31.092685356811863,16.423812714805,37.24598310280628,12.216063245981324,-0.1948640046317359,4.797818660736084
soft,safety_endpoint,lightgbm,3,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,4316,484,10,0.9809801144326938,1.3773126992486104,1.9295285063271719,37.440847107438024,13.990951440709575,4.12,59.9,31.092685356811863,16.423812714805,37.406071301764136,12.967913546434493,-0.0347758056738796,3.0016930103302
soft,safety_endpoint,xgboost,3,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,4316,484,10,0.8180148686946902,4.767357000201201,5.968500058232063,37.440847107438024,13.990951440709575,4.12,59.9,31.092685356811863,16.423812714805,37.135799407958984,10.345243453979492,-0.30504868960577586,0.6550807952880859
soft,safety_endpoint,random_forest,4,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,4443,357,10,0.9882009016903655,1.2967259198063386,1.8057246808315877,27.285798319327732,16.623678237508052,3.15,60.0,32.09011253657439,16.229014158291267,27.050106215202284,16.063011439164317,-0.2356921041254442,5.460486888885498
soft,safety_endpoint,lightgbm,4,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,4443,357,10,0.9940778095577621,0.8809413277733006,1.2792879488409756,27.285798319327732,16.623678237508052,3.15,60.0,32.09011253657439,16.229014158291267,27.05436404407773,16.31882368992138,-0.23143427525000113,3.307917356491089
