category,task,model,held_out_rule,n_test_rows,r2,mae,rmse
soft,safety_endpoint,lightgbm_production_hparams,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,26,0.8493047348790735,4.065332812685274,4.783133878730107
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW,3013,0.7923910373096591,8.697984715158173,11.070627517958604
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2038,0.8163550668193369,8.626313114995007,11.861390123883554
semi_hard,general_shelf_life,ridge_regression,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,0.33899644792336947,35.773407111797226,44.12705043644707
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SALOIO_COATING,346,-1.4629299943284675,8.357936173943246,9.808560907613055
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|LMM_MAP,333,0.4959706184317596,9.886345361415746,11.64068380824984
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SALOIO_COATING|PLANT_REVIEW,292,-2.196646236442843,11.710820647757062,13.423378003154774
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|LMM_MAP|PLANT_REVIEW,227,0.7074647947646048,7.809969029645706,10.080327892812017
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,157,0.892061164634086,7.115744274343411,9.55832773954391
semi_hard,general_shelf_life,ridge_regression,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SALOIO_COATING,76,0.05278313775018684,40.446406633800784,46.559777701290706
semi_hard,general_shelf_life,ridge_regression,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|LMM_MAP,64,-0.10339066227715654,48.57299043829116,54.82360327081557
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SALOIO_COATING|NATAMYCIN_REVIEW,22,-0.4284886044255254,8.179171397707021,8.918582344226465
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|LMM_MAP|NATAMYCIN_REVIEW,12,0.7558531469212086,4.657911208459949,6.135656965930291
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW,3013,0.9162032580231818,5.424369197180684,7.03335852763521
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2038,0.9236863895522439,5.437425412869137,7.646225735567195
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,0.6740600332152147,24.984861264500985,30.986449093287465
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|SALOIO_COATING,346,0.2790741197177793,4.5508326045792336,5.306700377723917
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|LMM_MAP,333,0.8651084706560057,4.875689479230503,6.022029868766064
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|SALOIO_COATING|PLANT_REVIEW,292,0.7723182600768506,2.8423973362764987,3.582437583865182
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|LMM_MAP|PLANT_REVIEW,227,0.8908628337983638,4.555410594134235,6.157039306042736
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,157,0.9387886614784637,5.23974747960598,7.197952758803977
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SALOIO_COATING,76,0.6564865265706218,21.211904758757708,28.038713025082945
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|LMM_MAP,64,0.6749967223640848,24.93887908129011,29.754098358068113
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|SALOIO_COATING|NATAMYCIN_REVIEW,22,0.8771271259193296,2.241331582547939,2.615685017501468
semi_hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|LMM_MAP|NATAMYCIN_REVIEW,12,0.9163009568025207,2.802834269431355,3.5924915247764755
semi_hard,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,1297,0.3817312197471018,13.880918782566225,16.524935273214933
semi_hard,safety_endpoint,ridge_regression,V7|RISK_REVIEW|PH_CHEESE,1046,-0.04813295813246876,15.166162731200327,17.9398560974305
semi_hard,safety_endpoint,ridge_regression,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,498,0.26937207921925455,15.781221170450783,18.274774894035005
semi_hard,safety_endpoint,ridge_regression,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,482,-0.02018935884631179,14.346937270555584,17.094647935833763
semi_hard,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,331,0.39141084180830665,13.643876359808203,16.239796435099898
semi_hard,safety_endpoint,ridge_regression,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,270,0.23278997710026816,15.729978558993201,18.066320123802456
semi_hard,safety_endpoint,ridge_regression,V7|KASHAR_EO|RISK_REVIEW|PH_CHEESE,54,-0.04121634755031223,14.898677206710593,17.20866801378421
semi_hard,safety_endpoint,ridge_regression,V7|KASHAR_EO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,22,-0.10479225320414765,14.806861328192072,16.78953501274318
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,1297,0.6484760654635483,9.834590152792298,12.46030172271785
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|RISK_REVIEW|PH_CHEESE,1046,0.5283407879550752,9.237470603925107,12.0344134237538
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,498,0.7236850204014171,8.807208869468345,11.238442257229297
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,482,0.8511713016835258,5.141372828513032,6.529247147134338
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,331,0.9236857959055128,4.676541322930304,5.750705997455036
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,270,0.8714899035910765,5.869797772080014,7.394029724903456
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|KASHAR_EO|RISK_REVIEW|PH_CHEESE,54,0.48578781761867595,10.294113953101022,12.093386918771428
semi_hard,safety_endpoint,lightgbm_production_hparams,V7|KASHAR_EO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,22,0.8649962611692643,5.41518460190261,5.869096582923067
hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW,2741,0.8111073822605868,7.8887791524574125,10.19826394320161
hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2197,0.7200789541398516,10.767152972570399,13.61810044548497
hard,general_shelf_life,ridge_regression,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,-0.28164577215384345,33.42954640642145,42.69001609904597
