model,n_rules,mean_r2,median_r2,std_r2,min_r2,max_r2,category,task
ridge_regression,7,-5.752039861272938,-5.736023441465923,7.807961588316495,-22.739345628934746,0.9024479481491786,soft,general_shelf_life
lightgbm_production_hparams,7,0.7517025574060084,0.8308581121204253,0.2561675321139362,0.2544288198230479,0.9843100662852811,soft,general_shelf_life
ridge_regression,11,0.25459340177609663,0.27602125593997784,0.28303361868596644,-0.3036442379000637,0.707981872633015,soft,safety_endpoint
lightgbm_production_hparams,11,0.5995211105075279,0.7054563145477055,0.32687014499503586,-0.1872050672124672,0.9510255009190033,soft,safety_endpoint
ridge_regression,12,0.05503499309001825,0.41748353317756454,0.9420265812679085,-2.196646236442843,0.892061164634086,semi_hard,general_shelf_life
lightgbm_production_hparams,12,0.782084446514555,0.8711177982876677,0.18266425138656872,0.2790741197177793,0.9387886614784637,semi_hard,general_shelf_life
ridge_regression,8,0.13262165001771134,0.10630030912697819,0.19376862516761453,-0.10479225320414765,0.39141084180830665,semi_hard,safety_endpoint
lightgbm_production_hparams,8,0.737204119223512,0.7874281610424715,0.15693028677588616,0.48578781761867595,0.9236857959055128,semi_hard,safety_endpoint
ridge_regression,8,0.1078911248211249,0.16579143759780385,0.7006403993594201,-1.345019558914288,0.8373642560532677,hard,general_shelf_life
lightgbm_production_hparams,8,0.18180229946395793,0.7029173704691878,1.079312061620744,-2.537189782997928,0.9248459025824939,hard,general_shelf_life
ridge_regression,10,-0.03911725285134813,-0.01939547008028275,0.058266447245362084,-0.16148990557370757,0.05548607877303113,hard,safety_endpoint
lightgbm_production_hparams,10,0.7067939359979712,0.7813866937414463,0.2074100297676416,0.37484655887429386,0.9273224848047121,hard,safety_endpoint
