model,n_rules,mean_r2,median_r2,std_r2,min_r2,max_r2,category,task,duration_sec
random_forest_production_hparams,7,0.6039507019193548,0.874954288472262,0.4843751610421315,-0.3348773867987256,0.9772743333566575,soft,general_shelf_life,72.0373375415802
xgboost_production_hparams,7,0.6511480376426372,0.8057165711802217,0.42678977570333415,-0.27863181590142316,0.9826302759207183,soft,general_shelf_life,10.020159482955933
random_forest_production_hparams,11,0.6919248797927257,0.8121044701615735,0.32251398907252965,-0.16645305498376217,0.9882009016903655,soft,safety_endpoint,66.14219927787781
xgboost_production_hparams,11,0.5889147669039322,0.671176151415912,0.30434472645727634,-0.1643170070216622,0.9289415722475582,soft,safety_endpoint,12.668182373046875
random_forest_production_hparams,12,0.7369163110217422,0.7821509516358569,0.1652214006228357,0.37393821564924135,0.954876987173968,semi_hard,general_shelf_life,105.220219373703
xgboost_production_hparams,12,0.7479001587196882,0.8402863031023314,0.19531060529252223,0.26996053197380354,0.9328033353200764,semi_hard,general_shelf_life,16.444436073303223
random_forest_production_hparams,8,0.8117619812067626,0.8561462903489501,0.15775159063467217,0.5812504883216866,0.9821348488007812,semi_hard,safety_endpoint,44.99174404144287
xgboost_production_hparams,8,0.6489001054670256,0.6899333255140028,0.18205613608139778,0.2690699907509867,0.8528494279015192,semi_hard,safety_endpoint,8.472413778305054
random_forest_production_hparams,8,-0.09678717735233697,0.6298437771534693,1.499025713124351,-3.8595091818413882,0.9057437019071102,hard,general_shelf_life,50.129069805145264
xgboost_production_hparams,8,-0.032800579299406024,0.5683346116268237,1.0702532754364413,-2.305473224307274,0.9102285976487446,hard,general_shelf_life,10.199164867401123
random_forest_production_hparams,10,0.7431934208118246,0.7895792890251457,0.20963192861466104,0.3938397913848497,0.970817188575206,hard,safety_endpoint,38.29783082008362
xgboost_production_hparams,10,0.6966948784338312,0.7360559824824197,0.1902402542727301,0.36615228392260246,0.9162949010362805,hard,safety_endpoint,10.318723440170288
