granularity,category,task,model,train_r2,train_rmse,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_train,n_val,n_test,svr_subsampled_to,training_duration_sec
per_category_specialist,soft,general_shelf_life,lasso,0.9261225002392593,6.9071481840529385,0.9238724101519873,7.335629294737616,0.9076317386042049,8.70037131462046,5.160147932001372,0.018490761635054476,6160,1320,1320,,0.3310215473175049
per_category_specialist,soft,general_shelf_life,elastic_net,0.9208208659509324,7.150691677909545,0.920490288373015,7.496808634825044,0.894523504778004,9.297244421208307,5.42227072573257,0.026297361172928357,6160,1320,1320,,0.15683245658874512
per_category_specialist,soft,general_shelf_life,bayesian_ridge,0.9270531684558491,6.863504065296018,0.924262426734003,7.3168142312697775,0.9096674791392911,8.60396169562467,5.1887028122165555,0.01738568931655793,6160,1320,1320,,0.22626137733459473
per_category_specialist,soft,general_shelf_life,knn_regressor_k5,0.9605086224934078,5.0500283957026015,0.9120828099066148,7.883212535816123,0.9046570638060171,8.839356798552778,4.435824242424243,0.05585155868739078,6160,1320,1320,,0.0018205642700195312
per_category_specialist,soft,general_shelf_life,svr_rbf,0.9747453224941031,4.038439604245809,0.9424016459117945,6.380744761565394,0.9456478617737705,6.673977224522988,3.021897726802627,0.02909746072033259,6160,1320,1320,4000.0,2.158851385116577
per_category_specialist,soft,general_shelf_life,gradient_boosting,0.9797997659673046,3.6117765943563462,0.9675147883005621,4.791915890951788,0.9587112900178895,5.8169061946998255,3.254371734707131,0.021088475949415098,6160,1320,1320,,8.545668363571167
per_category_specialist,soft,general_shelf_life,adaboost,0.9366604758716854,6.3955820779913,0.9228955555923806,7.38254396505646,0.9169256905238936,8.251060533009328,6.562591278878291,0.019734785347791828,6160,1320,1320,,5.055570840835571
per_category_specialist,soft,general_shelf_life,extra_trees,0.9797721612516629,3.614243596146298,0.967920975653735,4.761863164674877,0.9611386802245707,5.643326481369474,3.0759091514350962,0.01863348102709217,6160,1320,1320,,1.9094526767730713
per_category_specialist,soft,general_shelf_life,pls_regression,0.9226457735290292,7.067807338619056,0.9214911712086075,7.449473596340275,0.9016794810438542,8.97632326231446,5.32524797641207,0.02096629248517501,6160,1320,1320,,0.07827973365783691
per_category_specialist,soft,general_shelf_life,dummy_mean_baseline,0.0,25.41222422927947,-1.924181763257593e-06,26.5868419454025,-0.0004382145656165459,28.633308964151578,20.66048463203463,0.0004382145656165459,6160,1320,1320,,0.0005800724029541016
per_category_specialist,soft,safety_endpoint,lasso,0.6016568886753584,10.292931231442726,0.6053876274234193,10.257147025167663,0.5791271594231956,10.530884695070204,8.207422808001326,0.02252972925216279,3360,720,720,,0.05259823799133301
per_category_specialist,soft,safety_endpoint,elastic_net,0.6013335984291441,10.297107190924535,0.6052762164549125,10.25859487388729,0.576302321580417,10.566166482601982,8.222464686846402,0.02503127684872708,3360,720,720,,0.049529314041137695
per_category_specialist,soft,safety_endpoint,bayesian_ridge,0.602452597983063,10.282645782654075,0.6033147638873726,10.284051677954036,0.5739559430165992,10.595383066192811,8.238907662019479,0.028496654966463808,3360,720,720,,0.09523391723632812
per_category_specialist,soft,safety_endpoint,knn_regressor_k5,0.7201366562693288,8.627469347132697,0.37793376445046456,12.878329911133664,0.4099212588282567,12.46936654031257,9.818130555555555,0.31021539744107207,3360,720,720,,0.0012924671173095703
per_category_specialist,soft,safety_endpoint,svr_rbf,0.7310748173103303,8.45719124978069,0.5411193207048535,11.060916607784204,0.5234641226477739,11.205654004874917,8.358549563636668,0.20761069466255644,3360,720,720,,1.3006618022918701
per_category_specialist,soft,safety_endpoint,gradient_boosting,0.754288757956066,8.083937166354453,0.6021999144189183,10.298492756594205,0.5932260595694208,10.352994142590042,7.833533624532866,0.16106269838664522,3360,720,720,,4.158743143081665
per_category_specialist,soft,safety_endpoint,adaboost,0.6251980990536083,9.98415484896284,0.5913816899090694,10.437587840682996,0.6029792518576098,10.228124570632453,7.882943145071029,0.022218847195998537,3360,720,720,,0.35436105728149414
per_category_specialist,soft,safety_endpoint,extra_trees,0.7563902150729124,8.049293805958479,0.5480996833077489,10.97646645768935,0.5668629519377109,10.683217572382947,7.902057841150781,0.18952726313520152,3360,720,720,,0.8838012218475342
per_category_specialist,soft,safety_endpoint,pls_regression,0.6000260874818821,10.313979141035746,0.6048512419018653,10.264115783882547,0.5775651216986624,10.55040888734632,8.240971134600516,0.022460965783219766,3360,720,720,,0.041522979736328125
per_category_specialist,soft,safety_endpoint,dummy_mean_baseline,0.0,16.30836472645285,-0.0029507520463807335,16.352382452728044,-0.0031732257589860424,16.25838387093938,14.074702480158729,0.0031732257589860424,3360,720,720,,0.0008099079132080078
per_category_specialist,semi_hard,general_shelf_life,lasso,0.9017539544743662,15.238109498696955,0.8872645449059898,16.446423172268283,0.8666126013688201,17.277182816577547,10.15047806312884,0.035141353105546114,5040,1080,1080,,0.2114853858947754
per_category_specialist,semi_hard,general_shelf_life,elastic_net,0.8987000411582169,15.473130383370911,0.8851616786791262,16.599102899325224,0.866417090525577,17.289840083128283,10.261080553576196,0.03228295063263986,5040,1080,1080,,0.6404249668121338
per_category_specialist,semi_hard,general_shelf_life,bayesian_ridge,0.9018237877030045,15.232692916577683,0.8873338708333757,16.44136558468157,0.8664711697792645,17.28633994862881,10.143399336492928,0.035352617923740004,5040,1080,1080,,0.1581707000732422
per_category_specialist,semi_hard,general_shelf_life,knn_regressor_k5,0.9094322556724328,14.630539006388668,0.7898403577121247,22.455144790184455,0.7904808385219714,21.653464931866115,14.15378148148148,0.11895141715046142,5040,1080,1080,,0.0014371871948242188
per_category_specialist,semi_hard,general_shelf_life,svr_rbf,0.8785689449765485,16.940976296541937,0.8640466718128272,18.06076414878856,0.8410760248956772,18.85863421535553,10.289423833080379,0.03749292008087124,5040,1080,1080,4000.0,2.0412204265594482
per_category_specialist,semi_hard,general_shelf_life,gradient_boosting,0.9667851927749285,8.860116221910905,0.9341077359580096,12.573564514189194,0.9197920550857142,13.397514069056909,8.44028951311512,0.046993137689214315,5040,1080,1080,,7.026854991912842
per_category_specialist,semi_hard,general_shelf_life,adaboost,0.9187450099861388,13.857936637739666,0.8789163416272514,17.044488255533018,0.8727759779496341,16.873302320712394,13.227954077598433,0.04596903203650471,5040,1080,1080,,3.961608409881592
per_category_specialist,semi_hard,general_shelf_life,extra_trees,0.9600864014317249,9.712566228299272,0.9217872003813783,13.698723988433745,0.8958806584094229,15.264452572248146,10.661537815303282,0.06420574302230198,5040,1080,1080,,1.6734778881072998
