granularity,category,task,model,validation_split_used,train_r2,train_rmse,train_mae,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_fit,n_val,n_test,training_duration_sec
per_category_specialist,soft,general_shelf_life,ridge_regression,True,0.9270358040379258,6.864320918192976,4.42901528003823,0.9242745579517639,7.31622822476365,0.9095504416119965,8.609533667008131,5.188769843813715,0.01748536242592935,6160,1320,1320,0.056488037109375
per_category_specialist,soft,general_shelf_life,ridge_regression,False,0.9270688486198179,6.91980190935791,4.451972950807099,0.9295465618150796,7.056956361538543,0.9109137984698679,8.544401039120688,5.158679305729663,0.01615505014995,7480,1320,1320,0.06459164619445801
per_category_specialist,soft,general_shelf_life,shallow_decision_tree,True,0.9208921015286491,7.147474300752575,4.668510073385071,0.9102356610707654,7.965595602508312,0.9258245819519428,7.7966206633650925,4.887166168045812,-0.00493248042329375,6160,1320,1320,0.05000114440917969
per_category_specialist,soft,general_shelf_life,shallow_decision_tree,False,0.9190846869817946,7.288740469245129,4.67584656349816,0.9111392312927068,7.925403253830806,0.9239330628493748,7.895404195453798,4.939805763588414,-0.004848375867580246,7480,1320,1320,0.11465072631835938
per_category_specialist,soft,general_shelf_life,shallow_random_forest,True,0.9533992296091199,5.485790612200824,3.5918659264456787,0.9344395228856047,6.807495903477168,0.9344158499277313,7.331213219556174,4.268409565511,0.018983379681388635,6160,1320,1320,0.8042948246002197
per_category_specialist,soft,general_shelf_life,shallow_random_forest,False,0.9520812195450445,5.609058965747246,3.6661587156618323,0.9552158854718864,5.626370558020249,0.9411652370868168,6.9437393008526875,4.139691515986002,0.01091598245822778,7480,1320,1320,0.8600256443023682
per_category_specialist,soft,general_shelf_life,small_mlp,True,0.9839326483072001,3.221178774523841,1.9954821626854582,0.9792295507277211,3.8316804331304373,0.9717713850917777,4.809735431355138,2.6125554387265835,0.012161263215422324,6160,1320,1320,8.421679019927979
per_category_specialist,soft,general_shelf_life,small_mlp,False,0.9829599570223623,3.34481783436558,2.045680102926123,0.9849855952452997,3.257769819256959,0.9724586910824554,4.750821262572085,2.5280554947366607,0.010501265939906856,7480,1320,1320,7.891385555267334
per_category_specialist,soft,safety_endpoint,ridge_regression,True,0.6031413961790189,10.273733966879767,8.266998461650195,0.6008573475768312,10.315856715376274,0.5715037046078398,10.625831941728169,8.257008249034598,0.031637691571179016,3360,720,720,0.03623700141906738
per_category_specialist,soft,safety_endpoint,ridge_regression,False,0.6055243616660951,10.2472554758257,8.21911644199717,0.6284969857545166,9.952275797249582,0.5649730135779882,10.706499632764611,8.325170025277144,0.0405513480881069,4080,720,720,0.04708099365234375
per_category_specialist,soft,safety_endpoint,shallow_decision_tree,True,0.6254768470482426,9.980441446251591,7.8329256616323875,0.5355329219510665,11.128040557578986,0.5413435383186052,10.993428729614577,8.419612641696899,0.08413330872963742,3360,720,720,0.024820804595947266
per_category_specialist,soft,safety_endpoint,shallow_decision_tree,False,0.6265442873247402,9.970501968287937,7.802541368154623,0.6316875406500115,9.909447406173904,0.5519614815005511,10.865434130109312,8.248564399188696,0.07458280582418908,4080,720,720,0.028640270233154297
per_category_specialist,soft,safety_endpoint,shallow_random_forest,True,0.6738677045747192,9.31337991456805,7.2985865484043035,0.6001731720163224,10.324694201305192,0.5874675441332328,10.426017946750594,7.905870719631424,0.08640016044148646,3360,720,720,0.42158985137939453
per_category_specialist,soft,safety_endpoint,shallow_random_forest,False,0.6741913550068312,9.31276774060054,7.294305830754606,0.6766349112701417,9.285125904715883,0.5940636429099102,10.342329787034812,7.925870571236056,0.08012771209692104,4080,720,720,0.43630337715148926
per_category_specialist,soft,safety_endpoint,small_mlp,True,0.773708877621757,7.7578999402389,5.940037359255177,0.4349189673326571,12.27429612889538,0.48269630361658544,11.675142711502032,8.921594583601474,0.29101257400517155,3360,720,720,10.332377195358276
per_category_specialist,soft,safety_endpoint,small_mlp,False,0.7574653797102044,8.034971489192522,6.096181806697684,0.7417365772576219,8.297985716971539,0.4542769890089222,11.991556012547639,9.02460889701855,0.30318839070128223,4080,720,720,12.988586902618408
per_category_specialist,semi_hard,general_shelf_life,ridge_regression,True,0.9018228796226897,15.232763363767837,9.33869802749751,0.8873337234767978,16.441376336549027,0.8664811191144388,17.28569592743259,10.143155940174259,0.035341760508250886,5040,1080,1080,0.0524897575378418
per_category_specialist,semi_hard,general_shelf_life,ridge_regression,False,0.8998560254439678,15.405478460830686,9.379131110467222,0.8934782019719889,15.986759576087705,0.867945498733236,17.19064341874347,10.129373373500323,0.0319105267107318,6120,1080,1080,0.0535435676574707
per_category_specialist,semi_hard,general_shelf_life,shallow_decision_tree,True,0.9024688181307898,15.182570070022683,11.44511829765176,0.8861819281180608,16.5252033188944,0.8160533343931187,20.289039477621948,15.384905809188483,0.08641548373767116,5040,1080,1080,0.05128669738769531
per_category_specialist,semi_hard,general_shelf_life,shallow_decision_tree,False,0.9004584063354424,15.359075453995091,11.611260229582186,0.8952498255487896,15.8532598032404,0.8216035938183622,19.980602406770643,15.21356217109995,0.07885481251708015,6120,1080,1080,0.049985408782958984
per_category_specialist,semi_hard,general_shelf_life,shallow_random_forest,True,0.9312275263884938,12.749139504912293,9.544294897494694,0.9036574479591623,15.203734345294299,0.8640953452884945,17.43944634025329,12.73137391761872,0.0671321810999993,5040,1080,1080,0.5790438652038574
per_category_specialist,semi_hard,general_shelf_life,shallow_random_forest,False,0.9271845400543526,13.136345965771818,9.793492616039037,0.9229274135968348,13.598505025148896,0.864187647725362,17.433523155330477,12.747231090890876,0.06299689232899053,6120,1080,1080,0.6581254005432129
per_category_specialist,semi_hard,general_shelf_life,small_mlp,True,0.9613710297104838,9.554987350264893,6.182159309108689,0.9284479385961053,13.102442864461322,0.9328893908683825,12.25493797804411,7.870732141792996,0.02848163884210131,5040,1080,1080,9.462862968444824
per_category_specialist,semi_hard,general_shelf_life,small_mlp,False,0.9578565815047775,9.9937310960775,6.491615171903115,0.9529742374846362,10.622069106681751,0.9344580970463872,12.11086186305809,7.897825050147212,0.023398484458390323,6120,1080,1080,12.597189664840698
per_category_specialist,semi_hard,safety_endpoint,ridge_regression,True,0.2764387148385776,17.068735231835955,14.563223445598956,0.046816377898403094,17.95815843158976,0.3446539023670817,15.72723374742946,12.841527153356397,-0.06821518752850408,2800,600,600,0.007457733154296875
per_category_specialist,semi_hard,safety_endpoint,ridge_regression,False,0.2516046675759104,17.118324130628977,14.631474938558243,0.16232822367548427,16.83489664386345,0.36682417220883523,15.458919872875548,12.72327191603913,-0.11521950463292485,3400,600,600,0.008334875106811523
per_category_specialist,semi_hard,safety_endpoint,shallow_decision_tree,True,0.29689751723100144,16.825694401949452,14.325496778903576,0.018920617091503167,18.219044119735127,0.4016231209400949,15.028110678296922,12.256592979346582,-0.10472560370909345,2800,600,600,0.021893739700317383
per_category_specialist,semi_hard,safety_endpoint,shallow_decision_tree,False,0.26267835548701146,16.991205863199838,14.499469327816382,0.19588656804258464,16.49423474979916,0.3079468610702897,16.16168746556952,13.250468764703095,-0.04526850558327822,3400,600,600,0.02490377426147461
per_category_specialist,semi_hard,safety_endpoint,shallow_random_forest,True,0.36786048220729983,15.954020707164375,13.622876562684977,0.1057707297638838,17.393939435088733,0.37335078239204256,15.37904025159448,12.566432981933566,-0.005490300184742725,2800,600,600,0.36663079261779785
per_category_specialist,semi_hard,safety_endpoint,shallow_random_forest,False,0.3187232483270831,16.33268156388158,13.937114110960414,0.23872315628991114,16.048883437642203,0.36167401101269236,15.521662862054773,12.730533150205869,-0.04295076268560927,3400,600,600,0.43230319023132324
per_category_specialist,semi_hard,safety_endpoint,small_mlp,True,0.3247209326400018,16.489417900621547,13.949028180202635,0.06456917790103955,17.790139383850263,0.30142826838880743,16.23762421913921,13.178312504563205,0.02329266425119436,2800,600,600,3.5091681480407715
per_category_specialist,semi_hard,safety_endpoint,small_mlp,False,0.49300161388768005,14.089610865116688,11.553494460032676,0.4222245218573365,13.981477423065488,0.2628308653294861,16.680173137076768,13.851580720466936,0.23017074855819397,3400,600,600,13.4509756565094
per_category_specialist,hard,general_shelf_life,ridge_regression,True,0.9157863336829606,13.002007556915194,8.420633017307248,0.8991006091702749,13.399066292978613,0.9286825628609549,11.576793451077233,7.778283943928559,-0.012896229177994267,4200,900,900,0.053664207458496094
per_category_specialist,hard,general_shelf_life,ridge_regression,False,0.9138254551110537,13.031456230353598,8.534596110667147,0.9058399078687276,12.943856844035993,0.929742660902267,11.490429688064399,7.785767855438895,-0.01591720579121325,5100,900,900,0.042287588119506836
