model,n_rules,mean_r2,median_r2,std_r2,min_r2,max_r2,category,task,duration_sec
ridge_regression,11,0.25459340177609663,0.27602125593997784,0.28303361868596644,-0.3036442379000637,0.707981872633015,soft,safety_endpoint,1.6531767845153809
shallow_decision_tree,11,0.25273248138696974,0.2770186498858356,0.28018311424445613,-0.15868642825413626,0.7223149320678205,soft,safety_endpoint,1.8694558143615723
shallow_random_forest,11,0.31827698252083253,0.3264538599300152,0.2701387863961913,-0.13441049783021497,0.7551534895997667,soft,safety_endpoint,9.248523235321045
small_mlp,11,0.15027449834991669,0.3042570554469046,0.6278803795587352,-1.6875832721622857,0.7507769331709232,soft,safety_endpoint,123.20651865005493
lasso,11,0.2470294466628632,0.27768967622393814,0.2798750015302853,-0.2718718882205038,0.7106175580278845,soft,safety_endpoint,1.8297874927520752
elastic_net,11,0.24088802196381645,0.2787207161153068,0.27886941067782955,-0.2563959328964729,0.7104638007687041,soft,safety_endpoint,1.2505176067352295
bayesian_ridge,11,0.25113248738611416,0.2773502907140172,0.2794110719448248,-0.28718551408977677,0.7091299828023993,soft,safety_endpoint,1.8830556869506836
knn_regressor_k5,11,-0.8190406653644139,-0.11817550349727401,2.1466124743155035,-7.351627405979087,0.5100388094076381,soft,safety_endpoint,1.4150221347808838
svr_rbf,11,0.12378355902234729,0.21203302517173883,0.4286110622756078,-0.7123103131119559,0.7429871507592123,soft,safety_endpoint,30.949201345443726
gradient_boosting,11,0.37342563799214706,0.3686178350086503,0.27025936716750615,-0.1701565127639244,0.8010751243927635,soft,safety_endpoint,81.51445078849792
adaboost,11,0.29708507259331984,0.3000999036616593,0.2568066748068978,-0.06394613336111576,0.7304976231075408,soft,safety_endpoint,8.25533652305603
extra_trees,11,0.39377709023174173,0.4815107841963929,0.28594060544409217,-0.16149936281505028,0.7709476486205566,soft,safety_endpoint,20.219081163406372
pls_regression,11,0.25667663270164387,0.30774749432199766,0.2935020700067707,-0.3503055749257511,0.7089016924483708,soft,safety_endpoint,2.231701374053955
dummy_mean_baseline,11,-3.1317155068646767,-0.18950664440183274,6.448370305854209,-20.763358566975985,-0.05293364417799018,soft,safety_endpoint,1.2607345581054688
lightgbm_production_hparams,11,0.5995211105075279,0.7054563145477055,0.32687014499503586,-0.1872050672124672,0.9510255009190033,soft,safety_endpoint,30.145301580429077
ridge_regression,12,0.05503499309001825,0.41748353317756454,0.9420265812679085,-2.196646236442843,0.892061164634086,semi_hard,general_shelf_life,2.3668529987335205
shallow_decision_tree,12,0.019870519183662106,0.3637108365559632,1.0481581216348943,-3.256199255637319,0.7827740771798811,semi_hard,general_shelf_life,2.790332555770874
shallow_random_forest,12,0.39219188150323,0.591565898119861,0.5058412129178583,-1.1152127442346558,0.8404615642998592,semi_hard,general_shelf_life,15.112924337387085
small_mlp,12,0.6423128818593987,0.7758977840137191,0.32985455953491843,-0.2991030028615502,0.9067622925683421,semi_hard,general_shelf_life,132.754088640213
lasso,12,0.06433335274045833,0.43458256690384023,0.9441969715786342,-2.209545774843441,0.8914982037135021,semi_hard,general_shelf_life,9.420332193374634
elastic_net,12,0.015178439173471281,0.4105689919929954,0.9588608635213791,-2.1364234014270376,0.8943447206208901,semi_hard,general_shelf_life,18.04516100883484
bayesian_ridge,12,0.05470318033274423,0.41607971696426876,0.9418986802516514,-2.196609055636955,0.8920622009268776,semi_hard,general_shelf_life,5.275246620178223
knn_regressor_k5,12,-3.374488294835182,-0.5989311951819961,7.61446969188543,-27.969156966956348,0.8316453534221318,semi_hard,general_shelf_life,2.0042834281921387
svr_rbf,12,-0.11083721907747086,0.31094741004891296,1.0609734571691924,-2.485307941067824,0.8029472398961787,semi_hard,general_shelf_life,46.95742225646973
gradient_boosting,12,0.6210367987416625,0.7060673495137826,0.28062845073730724,-0.09264087560698808,0.9184471873781885,semi_hard,general_shelf_life,146.84487295150757
adaboost,12,-1.6252657476404166,0.4066149636158859,3.973346321406563,-12.294439017127768,0.8328366179028786,semi_hard,general_shelf_life,81.26406741142273
extra_trees,12,0.5528704199742008,0.6260593695005914,0.3388737682077037,-0.45307994764386383,0.8711128067984202,semi_hard,general_shelf_life,37.98235535621643
pls_regression,12,-0.03180822261180629,0.4587314087671249,1.0444718053448974,-2.338077213621689,0.8756746490473793,semi_hard,general_shelf_life,3.162506341934204
dummy_mean_baseline,12,-10.274163343327237,-2.1478587032171337,15.530445022472767,-51.07490787968805,-0.037243715997512084,semi_hard,general_shelf_life,1.7296884059906006
lightgbm_production_hparams,12,0.782084446514555,0.8711177982876677,0.18266425138656872,0.2790741197177793,0.9387886614784637,semi_hard,general_shelf_life,35.02237939834595
ridge_regression,8,0.13262165001771134,0.10630030912697819,0.19376862516761453,-0.10479225320414765,0.39141084180830665,semi_hard,safety_endpoint,1.0243754386901855
shallow_decision_tree,8,0.1504665401959225,0.11623683424371017,0.18344911810980463,-0.08793152150538086,0.4013436560080531,semi_hard,safety_endpoint,1.1647741794586182
shallow_random_forest,8,0.1816364155394612,0.1616182753044696,0.19022452999563047,-0.06729163200778698,0.42437398598561626,semi_hard,safety_endpoint,5.875520944595337
small_mlp,8,0.1060828009258779,0.19639923758770722,0.32370852302616054,-0.45793280951111814,0.5459033370761298,semi_hard,safety_endpoint,106.3374354839325
